Instance,Time,Gap,Objective,Gained Imparity,Imparity Quotient
Lpr-a-05-4C-4A.json,3174.5773379802704,6.151637873583841e-05,97535.0,19,0.059190031152647975
Lpr-a-05-4C-7B.json,2124.636299133301,9.819203908043156e-05,81473.0,16,0.04984423676012461
Lpr-a-05-4C-8A.json,3600.0,0.00020980226136866004,133459.0,16,0.04984423676012461
Lpr-a-05-4C-8B.json,95.2599790096283,9.436039379737679e-05,63586.0,16,0.04984423676012461
Lpr-a-05-4C-9B.json,41.17582297325134,8.538397172082856e-05,58559.0,19,0.059190031152647975
Lpr-b-01-2C-10A.json,0.10866522789001465,0.0,2642.0,1,0.03571428571428571
Lpr-b-01-2C-10B.json,0.017954111099243164,0.0,1735.0,0,0.0
Lpr-b-01-2C-1A.json,0.061369895935058594,0.0,2209.0,1,0.03571428571428571
Lpr-b-01-2C-1B.json,0.022123098373413086,0.0,1447.0,1,0.03571428571428571
Lpr-b-01-2C-2A.json,0.011743783950805664,0.0,2035.0,0,0.0
Lpr-b-01-2C-2B.json,0.019782066345214844,0.0,1460.0,0,0.0
Lpr-b-01-2C-3A.json,0.027057886123657227,0.0,2457.0,1,0.03571428571428571
Lpr-b-01-2C-3B.json,0.20910096168518066,0.0,1734.0,1,0.03571428571428571
Lpr-b-01-2C-4A.json,0.008376121520996094,0.0,2307.0,0,0.0
Lpr-b-01-2C-4B.json,0.01131296157836914,0.0,1565.0,1,0.03571428571428571
Lpr-b-01-2C-5A.json,0.019082069396972656,0.0,1872.0,1,0.03571428571428571
Lpr-b-01-2C-5B.json,0.011541128158569336,0.0,1402.0,1,0.03571428571428571
Lpr-b-01-2C-6A.json,0.07656383514404297,0.0,2520.0,1,0.03571428571428571
Lpr-b-01-2C-6B.json,0.07717490196228027,0.0,1227.0000000000002,1,0.03571428571428571
Lpr-b-01-2C-7A.json,0.015851974487304688,0.0,2416.0,1,0.03571428571428571
Lpr-b-01-2C-7B.json,0.016316890716552734,0.0,2048.0,1,0.03571428571428571
Lpr-b-01-2C-8A.json,0.020704030990600586,0.0,2597.0,1,0.03571428571428571
Lpr-b-01-2C-8B.json,0.13416194915771484,0.0,1643.0000000000002,2,0.07142857142857142
Lpr-b-01-2C-9A.json,0.0314640998840332,0.0,1793.0,1,0.03571428571428571
Lpr-b-01-2C-9B.json,0.020684003829956055,0.0,1577.0,0,0.0
Lpr-b-01-3C-10A.json,0.5865130424499512,0.0,1707.0,1,0.03571428571428571
Lpr-b-01-3C-10B.json,0.2192668914794922,0.0,1131.0,1,0.03571428571428571
Lpr-b-01-3C-1A.json,0.06347513198852539,0.0,2364.0,1,0.03571428571428571
Lpr-b-01-3C-1B.json,0.02586984634399414,0.0,1201.0,1,0.03571428571428571
Lpr-b-01-3C-2A.json,0.04486799240112305,0.0,2148.0,1,0.03571428571428571
Lpr-b-01-3C-2B.json,0.10036516189575195,0.0,1694.0,1,0.03571428571428571
Lpr-b-01-3C-3A.json,0.28655409812927246,0.0,2714.0,1,0.03571428571428571
Lpr-b-01-3C-3B.json,0.06113314628601074,0.0,1254.0,1,0.03571428571428571
Lpr-b-01-3C-4A.json,0.014767885208129883,0.0,1618.0,1,0.03571428571428571
Lpr-b-01-3C-4B.json,0.020049095153808594,0.0,655.0,1,0.03571428571428571
Lpr-b-01-3C-5A.json,0.13197898864746094,0.0,2769.0,1,0.03571428571428571
Lpr-b-01-3C-5B.json,2.9751009941101074,0.0,1397.0,1,0.03571428571428571
Lpr-b-01-3C-6A.json,0.08247494697570801,0.0,1704.0,1,0.03571428571428571
Lpr-b-01-3C-6B.json,0.044339895248413086,0.0,1572.0,1,0.03571428571428571
Lpr-b-01-3C-7A.json,0.04659891128540039,0.0,1500.0,1,0.03571428571428571
